Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds),Category
06/09/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",1588.0,1054.0,2392.0,692.0,356.0,1780.0,930.0,574.0,880.0,995.0,335.0,894.0,1133.0,510.0,539.0,674.0,399.0,549.0,3
04/28/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",639.0,512.0,796.0,603.0,987.0,842.0,664.0,555.0,793.0,654.0,524.0,817.0,608.0,492.0,753.0,696.0,360.0,517.0,6
05/18/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",730.0,520.0,1024.0,531.0,750.0,804.0,732.0,544.0,985.0,791.0,590.0,1061.0,569.0,406.0,797.0,456.0,477.0,761.0,6
04/18/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",512.0,371.0,705.0,648.0,461.0,911.0,529.0,389.0,720.0,528.0,398.0,702.0,442.0,321.0,608.0,363.0,297.0,443.0,15
04/08/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",505.0,364.0,701.0,621.0,489.0,788.0,691.0,507.0,941.0,429.0,339.0,542.0,502.0,354.0,711.0,369.0,526.0,729.0,15
06/30/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",616.0,385.0,987.0,1515.0,864.0,876.0,649.0,414.0,1017.0,1224.0,644.0,962.0,386.0,276.0,541.0,472.0,304.0,726.0,15
04/23/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",682.0,500.0,931.0,1685.0,709.0,1696.0,759.0,607.0,949.0,756.0,577.0,991.0,550.0,406.0,745.0,287.0,231.0,527.0,6
05/13/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",634.0,457.0,878.0,1069.0,630.0,486.0,650.0,473.0,893.0,584.0,470.0,726.0,611.0,424.0,880.0,472.0,630.0,481.0,6
05/15/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",878.0,621.0,1243.0,904.0,650.0,1257.0,1081.0,754.0,1549.0,732.0,586.0,915.0,795.0,612.0,1032.0,568.0,438.0,736.0,0
04/14/2019,3603,"Embarcadero, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",996.0,853.0,1164.0,515.0,305.0,1245.0,978.0,454.0,1349.0,1063.0,928.0,1219.0,936.0,279.0,405.0,608.0,546.0,487.0,7
